[1] TRUE
[21:43:19] Found summary chunk files: 60
[21:43:24] EDIT TWM Latham | ID: 388802 | test | batting | 4s: NA -> 722
[21:43:24] EDIT TWM Latham | ID: 388802 | test | batting | 6s: NA -> 22
[21:43:24] EDIT PA de Silva | ID: 48462 | test | batting | BF: NA -> 11249
[21:43:24] EDIT PA de Silva | ID: 48462 | test | batting | SR: NA -> 56.55
[21:43:24] EDIT PA de Silva | ID: 48462 | test | batting | 4s: NA -> 756
[21:43:24] EDIT PA de Silva | ID: 48462 | test | batting | 6s: NA -> 48
[21:43:24] EDIT MEK Hussey | ID: 5939 | test | batting | BF: NA -> 12436
[21:43:24] EDIT MEK Hussey | ID: 5939 | test | batting | SR: NA -> 50.14
[21:43:24] EDIT MEK Hussey | ID: 5939 | test | batting | 4s: NA -> 685
[21:43:24] EDIT MEK Hussey | ID: 5939 | test | batting | 6s: NA -> 39
[21:43:24] EDIT UT Khawaja | ID: 215155 | test | batting | BF: NA -> 12757
[21:43:24] EDIT UT Khawaja | ID: 215155 | test | batting | SR: NA -> 48.83
[21:43:24] EDIT UT Khawaja | ID: 215155 | test | batting | 4s: NA -> 664
[21:43:24] EDIT UT Khawaja | ID: 215155 | test | batting | 6s: NA -> 28
[21:43:24] EDIT RB Kanhai | ID: 52287 | test | batting | BF: NA -> 2914
[21:43:24] EDIT RB Kanhai | ID: 52287 | test | batting | SR: NA -> 213.69
[21:43:24] EDIT RB Kanhai | ID: 52287 | test | batting | 4s: NA -> 566
[21:43:24] EDIT RB Kanhai | ID: 52287 | test | batting | 6s: NA -> 23
[21:43:24] EDIT M Azharuddin | ID: 26329 | test | batting | BF: NA -> 9895
[21:43:24] EDIT M Azharuddin | ID: 26329 | test | batting | SR: NA -> 62.81
[21:43:24] EDIT M Azharuddin | ID: 26329 | test | batting | 4s: NA -> 720
[21:43:24] EDIT M Azharuddin | ID: 26329 | test | batting | 6s: NA -> 19
[21:43:24] EDIT HH Gibbs | ID: 45224 | test | batting | BF: NA -> 12270
[21:43:24] EDIT HH Gibbs | ID: 45224 | test | batting | SR: NA -> 50.26
[21:43:24] EDIT HH Gibbs | ID: 45224 | test | batting | 4s: NA -> 887
[21:43:24] EDIT HH Gibbs | ID: 45224 | test | batting | 6s: NA -> 47
[21:43:24] EDIT RN Harvey | ID: 5603 | test | batting | BF: NA -> 1811
[21:43:24] EDIT RN Harvey | ID: 5603 | test | batting | SR: NA -> 339.54
[21:43:24] EDIT RN Harvey | ID: 5603 | test | batting | 4s: NA -> 452
[21:43:24] EDIT RN Harvey | ID: 5603 | test | batting | 6s: NA -> 1
[21:43:24] EDIT GR Viswanath | ID: 35712 | test | batting | BF: NA -> 8011
[21:43:24] EDIT GR Viswanath | ID: 35712 | test | batting | SR: NA -> 75.9
[21:43:24] EDIT GR Viswanath | ID: 35712 | test | batting | 4s: NA -> 616
[21:43:24] EDIT GR Viswanath | ID: 35712 | test | batting | 6s: NA -> 6
[21:43:24] EDIT JM Bairstow | ID: 297433 | test | batting | BF: NA -> 10228
[21:43:24] EDIT JM Bairstow | ID: 297433 | test | batting | SR: NA -> 59.07
[21:43:24] EDIT JM Bairstow | ID: 297433 | test | batting | 4s: NA -> 719
[21:43:24] EDIT JM Bairstow | ID: 297433 | test | batting | 6s: NA -> 56
[21:43:24] EDIT KC Brathwaite | ID: 348024 | test | batting | BF: NA -> 14571
[21:43:24] EDIT KC Brathwaite | ID: 348024 | test | batting | SR: NA -> 40.83
[21:43:24] EDIT KC Brathwaite | ID: 348024 | test | batting | 4s: NA -> 594
[21:43:24] EDIT KC Brathwaite | ID: 348024 | test | batting | 6s: NA -> 17
[21:43:24] EDIT RB Richardson | ID: 52810 | test | batting | BF: NA -> 12400
[21:43:24] EDIT RB Richardson | ID: 52810 | test | batting | SR: NA -> 47.98
[21:43:24] EDIT RB Richardson | ID: 52810 | test | batting | 4s: NA -> 761
[21:43:24] EDIT RB Richardson | ID: 52810 | test | batting | 6s: NA -> 23
[21:43:24] EDIT RR Sarwan | ID: 52969 | test | batting | BF: NA -> 12484
[21:43:24] EDIT RR Sarwan | ID: 52969 | test | batting | SR: NA -> 46.8
[21:43:24] EDIT RR Sarwan | ID: 52969 | test | batting | 4s: NA -> 747
[21:43:24] EDIT RR Sarwan | ID: 52969 | test | batting | 6s: NA -> 14
[21:43:24] EDIT ME Trescothick | ID: 21585 | test | batting | BF: NA -> 10685
[21:43:24] EDIT ME Trescothick | ID: 21585 | test | batting | SR: NA -> 54.52
[21:43:24] EDIT ME Trescothick | ID: 21585 | test | batting | 4s: NA -> 831
