cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,blank_col_14,format,stat_type,source,source_url
1184439,1184439,Musa Ahmed,NED,Musa Ahmed (NED),2021-2024,15,15,0,255,61,17,410,62.19,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
210279,210279,AD Poynter,IRE,AD Poynter (IRE),2008-2014,19,16,3,255,78,19.61,412,61.89,0,2,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
300624,300624,SA Wijeyeratne,CAN,SA Wijeyeratne (CAN),2023-2024,10,10,0,254,63,25.4,360,70.55,0,3,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
50247,50247,S Ranatunga,SL,S Ranatunga (SL),1994-1996,13,11,0,253,70,23,526,48.09,0,2,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
55280,55280,IP Butchart,ZIM,IP Butchart (ZIM),1983-1995,20,16,2,252,54,18,395,63.79,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
261354,261354,NM Coulter-Nile,AUS,NM Coulter-Nile (AUS),2013-2019,32,21,6,252,92,16.8,262,96.18,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
23759,23759,J Edness,BER,J Edness (BER),2007-2008,11,11,2,252,72,28,403,62.53,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
37731,37731,JFM Morrison,NZ,JFM Morrison (NZ),1975-1983,18,15,3,252,55,21,472,53.38,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
254114,254114,HA Varaiya,KENYA,HA Varaiya (KENYA),2006-2014,63,38,17,252,34,12,489,51.53,0,0,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
292152,292152,JJ Atkinson,HKG,JJ Atkinson (HKG),2008-2017,9,9,0,250,59,27.77,398,62.81,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
37698,37698,JAH Marshall,NZ,JAH Marshall (NZ),2005-2008,10,10,0,250,161,25,313,79.87,1,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
19316,19316,CT Radley,ENG,CT Radley (ENG),1978-1978,4,4,1,250,117*,83.33,367,68.11,1,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
