cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,blank_col_12,format,stat_type,source,source_url
323389,323389,Mohammad Rizwan,PAK,Mohammad Rizwan (PAK),2015-2026,103,103,120,113,7,101,12,6 (6ct 0st),1.165,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
7502,7502,L Ronchi,AUS/NZ,L Ronchi (AUS/NZ),2008-2017,85,83,117,105,12,105,0,4 (4ct 0st),1.409,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
230193,230193,MS Wade,AUS,MS Wade (AUS),2012-2021,97,97,117,108,9,108,0,5 (5ct 0st),1.206,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
629074,629074,BKG Mendis,SL,BKG Mendis (SL),2016-2026,156,154,116,100,16,61,39,3 (3ct 0st),0.753,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
40570,40570,Inzamam-ul-Haq,Asia/PAK,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,373,113,113,0,0,113,3 (3ct 0st),0.302,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
8192,8192,SR Waugh,AUS,SR Waugh (AUS),1986-2002,325,324,111,111,0,0,111,3 (3ct 0st),0.342,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
49626,49626,RS Mahanama,SL,RS Mahanama (SL),1986-1999,213,212,109,109,0,0,109,3 (3ct 0st),0.514,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
10772,10772,PD Collingwood,ENG,PD Collingwood (ENG),2001-2011,197,197,108,108,0,0,108,3 (3ct 0st),0.548,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
45224,45224,HH Gibbs,SA,HH Gibbs (SA),1996-2010,248,246,108,108,0,0,108,3 (3ct 0st),0.439,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
46774,46774,SM Pollock,Afr/ICC/SA,SM Pollock (Afr/ICC/SA),1996-2008,303,300,108,108,0,0,108,2 (2ct 0st),0.36,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
