cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1284540,1284540,Ishtiaq Ahmad,KSA,Ishtiaq Ahmad (KSA),2021-2025,51,14,6,59,16,7.37,43,137.2,0,0,3,1,6
1345174,1345174,V Jayant,LES,V Jayant (LES),2022-2024,10,7,0,59,31,8.42,92,64.13,0,0,2,4,1
1502408,1502408,Kamrul Hasan,SWZ,Kamrul Hasan (SWZ),2025-2025,3,3,0,59,49,19.66,45,131.11,0,0,1,4,6
23928,23928,FA Klokker,DEN,FA Klokker (DEN),2021-2022,13,7,5,59,29*,29.5,57,103.5,0,0,0,4,0
1441894,1441894,Mandeep Singh,NOR,Mandeep Singh (NOR),2024-2024,5,4,1,59,31*,19.66,54,109.25,0,0,0,3,1
542023,542023,L Ngidi,SA,L Ngidi (SA),2017-2026,64,18,13,59,13*,11.8,72,81.94,0,0,2,5,1
300629,300629,AK Perera,SL,AK Perera (SL),2013-2019,6,5,0,59,16,11.8,65,90.76,0,0,0,5,1
1115044,1115044,JS Pita,Samoa,JS Pita (Samoa),2023-2023,3,3,0,59,46,19.66,55,107.27,0,0,0,8,1
1509240,1509240,Rejaul Karim,BRA,Rejaul Karim (BRA),2025-2025,5,4,0,59,38,14.75,51,115.68,0,0,1,10,1
1442089,1442089,PS Roberts,CRT,PS Roberts (CRT),2024-2024,4,4,2,59,39*,29.5,56,105.35,0,0,0,5,0
1447223,1447223,DR Tawake,Fiji,DR Tawake (Fiji),2024-2024,6,6,0,59,18,9.83,79,74.68,0,0,2,5,0
1499291,1499291,Walid Sahibzada,BEL,Walid Sahibzada (BEL),2025-2026,7,4,0,59,32,14.75,58,101.72,0,0,1,5,3
1204633,1204633,Aamer Ikram,POR,Aamer Ikram (POR),2019-2019,4,4,0,58,23,14.5,73,79.45,0,0,0,4,4
550137,550137,Abu Hider,BAN,Abu Hider (BAN),2016-2018,13,5,4,58,22*,58,43,134.88,0,0,0,5,4
1156456,1156456,Baljit Singh,ITA,Baljit Singh (ITA),2019-2022,11,6,1,58,45,11.6,53,109.43,0,0,2,3,2
277912,277912,TA Boult,NZ,TA Boult (NZ),2013-2024,61,15,8,58,16,8.28,64,90.62,0,0,1,3,2
1005267,1005267,J Grassi,ITA,J Grassi (ITA),2021-2021,6,4,0,58,20,14.5,63,92.06,0,0,0,2,2
1527496,1527496,Inshaf Farook,LES,Inshaf Farook (LES),2026-2026,5,5,1,58,28,14.5,64,90.62,0,0,0,3,3
1163181,1163181,A Langham,STHEL,A Langham (STHEL),2022-2022,7,5,0,58,39,11.6,51,113.72,0,0,1,4,2
1280670,1280670,I Mugisha,RWN,I Mugisha (RWN),2023-2025,14,9,3,58,16,9.66,53,109.43,0,0,0,1,5
1460539,1460539,Saghir Khan,UAE,Saghir Khan (UAE),2025-2025,8,7,2,58,28*,11.6,38,152.63,0,0,1,5,4
25112,25112,CJO Smith,SCOT,CJO Smith (SCOT),2007-2009,8,6,1,58,46*,11.6,54,107.4,0,0,3,6,0
56251,56251,Alok Kapali,BAN,Alok Kapali (BAN),2007-2011,7,7,2,57,19,11.4,85,67.05,0,0,2,3,1
345296,345296,TA Dudnath,SUR,TA Dudnath (SUR),2024-2026,7,6,0,57,18,9.5,92,61.95,0,0,0,0,2
1455283,1455283,Jobayer Hossen,SEY,Jobayer Hossen (SEY),2024-2026,8,6,2,57,26,14.25,77,74.02,0,0,0,6,2
222320,222320,C Jonker,SA,C Jonker (SA),2018-2018,2,2,0,57,49,28.5,29,196.55,0,0,0,5,3
1143539,1143539,A Makesh,KUW,A Makesh (KUW),2019-2019,4,2,1,57,57,57,41,139.02,0,1,0,3,4
1167326,1167326,Muhammad Nadeem,SKOR,Muhammad Nadeem (SKOR),2026-2026,6,4,1,57,24,19,55,103.63,0,0,0,3,2
515071,515071,MMR Obili,EST,MMR Obili (EST),2021-2022,12,9,4,57,18,11.4,65,87.69,0,0,2,1,1
1204009,1204009,Ravinder Singh,MLT,Ravinder Singh (MLT),2019-2021,7,4,0,57,34,14.25,50,114,0,0,0,3,3
