cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
247235,247235,CR Woakes,ENG,CR Woakes (ENG),2011-2023,122,118,5737,NA,NA,5193,173,6/45,NA,30.01,5.43,33.1,11,3,NA
506612,506612,MJ Henry,NZ,MJ Henry (NZ),2014-2025,95,93,4946,NA,NA,4298,172,5/30,NA,24.98,5.21,28.7,13,3,NA
12856,12856,A Flintoff,ENG/ICC,A Flintoff (ENG/ICC),1999-2009,141,119,5624,NA,NA,4121,169,5/19,NA,24.38,4.39,33.2,6,2,NA
550215,550215,K Rabada,SA,K Rabada (SA),2015-2025,106,104,5444,NA,NA,4613,168,6/16,NA,27.45,5.08,32.4,6,2,NA
8180,8180,SR Watson,AUS,SR Watson (AUS),2002-2015,190,163,6466,NA,NA,5342,168,4/36,NA,31.79,4.95,38.4,3,0,NA
51880,51880,CH Gayle,ICC/WI,CH Gayle (ICC/WI),1999-2019,301,199,7424,NA,NA,5926,167,5/46,NA,35.48,4.78,44.4,3,1,NA
41316,41316,Mushtaq Ahmed,PAK,Mushtaq Ahmed (PAK),1989-2003,144,142,7543,NA,NA,5361,161,5/36,NA,33.29,4.26,46.8,3,1,NA
391485,391485,JO Holder,WI,JO Holder (WI),2013-2023,138,134,6402,NA,NA,5878,159,5/27,NA,36.96,5.5,40.2,5,2,NA
37224,37224,Sir RJ Hadlee,NZ,Sir RJ Hadlee (NZ),1973-1990,115,112,6182,NA,NA,3407,158,5/25,NA,21.56,3.3,39.1,1,5,NA
42657,42657,Shoaib Malik,PAK,Shoaib Malik (PAK),1999-2019,287,217,7958,NA,NA,6192,158,4/19,NA,39.18,4.66,50.3,1,0,NA
52419,52419,MD Marshall,WI,MD Marshall (WI),1980-1992,136,134,7175,NA,NA,4233,157,4/18,NA,26.96,3.53,45.7,6,0,NA
31820,31820,A Nehra,Asia/IND,A Nehra (Asia/IND),2001-2011,120,120,5751,NA,NA,4981,157,6/23,NA,31.72,5.19,36.6,5,2,NA
32323,32323,M Prabhakar,IND,M Prabhakar (IND),1984-1996,130,127,6360,NA,NA,4534,157,5/33,NA,28.87,4.27,40.5,4,2,NA
26421,26421,R Ashwin,IND,R Ashwin (IND),2010-2023,116,114,6303,NA,NA,5180,156,4/25,NA,33.2,4.93,40.4,1,0,NA
5681,5681,GB Hogg,AUS,GB Hogg (AUS),1996-2008,123,113,5564,NA,NA,4188,156,5/32,NA,26.84,4.51,35.6,3,2,NA
960361,960361,S Lamichhane,NEP,S Lamichhane (NEP),2018-2026,74,72,4063,NA,NA,2965,154,6/11,NA,19.25,4.37,26.3,9,3,NA
35320,35320,SR Tendulkar,IND,SR Tendulkar (IND),1989-2012,463,270,8054,NA,NA,6850,154,5/32,NA,44.48,5.1,52.2,4,2,NA
268739,268739,BAW Mendis,SL,BAW Mendis (SL),2008-2015,87,84,4154,NA,NA,3324,152,6/13,NA,21.86,4.8,27.3,7,3,NA
48369,48369,UDU Chandana,SL,UDU Chandana (SL),1994-2007,147,136,6142,NA,NA,4818,151,5/61,NA,31.9,4.7,40.6,4,1,NA
625383,625383,JJ Bumrah,IND,JJ Bumrah (IND),2016-2023,89,88,4580,NA,NA,3509,149,6/19,NA,23.55,4.59,30.7,6,2,NA
36326,36326,SE Bond,NZ,SE Bond (NZ),2002-2010,82,80,4295,NA,NA,3070,147,6/19,NA,20.88,4.28,29.2,7,4,NA
51876,51876,J Garner,WI,J Garner (WI),1977-1987,98,98,5330,NA,NA,2752,146,5/31,NA,18.84,3.09,36.5,2,3,NA
1072470,1072470,Shaheen Shah Afridi,PAK,Shaheen Shah Afridi (PAK),2018-2026,77,76,3859,NA,NA,3578,146,6/35,NA,24.5,5.56,26.4,8,3,NA
9163,9163,IT Botham,ENG,IT Botham (ENG),1976-1992,116,115,6271,NA,NA,4139,145,4/31,NA,28.54,3.96,43.2,3,0,NA
24705,24705,TM Odoyo,Afr/KENYA,TM Odoyo (Afr/KENYA),1996-2014,136,129,5649,NA,NA,4335,145,4/25,NA,29.89,4.6,38.9,5,0,NA
489889,489889,PJ Cummins,AUS,PJ Cummins (AUS),2011-2024,90,90,4683,NA,NA,4116,143,5/70,NA,28.78,5.27,32.7,6,1,NA
5392,5392,JN Gillespie,AUS,JN Gillespie (AUS),1996-2005,97,96,5144,NA,NA,3611,142,5/22,NA,25.42,4.21,36.2,3,3,NA
288284,288284,JR Hazlewood,AUS,JR Hazlewood (AUS),2010-2025,96,95,4978,NA,NA,3928,142,6/52,NA,27.66,4.73,35,1,3,NA
52063,52063,MA Holding,WI,MA Holding (WI),1976-1987,102,102,5473,NA,NA,3034,142,5/26,NA,21.36,3.32,38.5,5,1,NA
326016,326016,B Kumar,IND,B Kumar (IND),2012-2022,121,120,5847,NA,NA,4951,141,5/42,NA,35.11,5.08,41.4,4,1,NA
36603,36603,EJ Chatfield,NZ,EJ Chatfield (NZ),1979-1989,114,112,6065,NA,NA,3618,140,5/34,NA,25.84,3.57,43.3,3,1,NA
41434,41434,Mohammad Hafeez,PAK,Mohammad Hafeez (PAK),2003-2019,218,177,7733,NA,NA,5400,139,4/41,NA,38.84,4.18,55.6,1,0,NA
48469,48469,HDPK Dharmasena,SL,HDPK Dharmasena (SL),1994-2004,141,134,7009,NA,NA,4998,138,4/37,NA,36.21,4.27,50.7,1,0,NA
38407,38407,SB Styris,NZ,SB Styris (NZ),1999-2011,188,161,6114,NA,NA,4839,137,6/25,NA,35.32,4.74,44.6,4,1,NA
49638,49638,MF Maharoof,SL,MF Maharoof (SL),2004-2016,109,105,4640,NA,NA,3789,135,6/14,NA,28.06,4.89,34.3,4,2,NA
19264,19264,LE Plunkett,ENG,LE Plunkett (ENG),2005-2019,89,87,4137,NA,NA,4010,135,5/52,NA,29.7,5.81,30.6,6,1,NA
5239,5239,DW Fleming,AUS,DW Fleming (AUS),1994-2001,88,88,4619,NA,NA,3402,134,5/36,NA,25.38,4.41,34.4,4,1,NA
670031,670031,AS Joseph,WI,AS Joseph (WI),2016-2026,83,80,4107,NA,NA,3774,133,5/56,NA,28.37,5.51,30.8,5,1,NA
502714,502714,MJ Santner,NZ,MJ Santner (NZ),2015-2025,124,118,5875,NA,NA,4717,133,5/50,NA,35.46,4.81,44.1,0,2,NA
7702,7702,A Symonds,AUS,A Symonds (AUS),1998-2009,198,158,5935,NA,NA,4955,133,5/18,NA,37.25,5,44.6,2,1,NA
55820,55820,P Utseya,ZIM,P Utseya (ZIM),2004-2015,164,160,8571,NA,NA,6239,133,5/36,NA,46.9,4.36,64.4,2,1,NA
38973,38973,Abdul Qadir,PAK,Abdul Qadir (PAK),1983-1993,104,100,5100,NA,NA,3454,132,5/44,NA,26.16,4.06,38.6,4,2,NA
538506,538506,Taskin Ahmed,BAN,Taskin Ahmed (BAN),2014-2026,91,89,4293,NA,NA,3847,131,5/28,NA,29.36,5.37,32.7,7,2,NA
51651,51651,M Dillon,WI,M Dillon (WI),1997-2005,108,107,5480,NA,NA,4218,130,5/29,NA,32.44,4.61,42.1,3,3,NA
629063,629063,Mehidy Hasan Miraz,BAN,Mehidy Hasan Miraz (BAN),2017-2026,122,119,5983,NA,NA,4704,129,4/25,NA,36.46,4.71,46.3,5,0,NA
300619,300619,Rubel Hossain,BAN,Rubel Hossain (BAN),2009-2021,104,102,4678,NA,NA,4427,129,6/26,NA,34.31,5.67,36.2,7,1,NA
33975,33975,RJ Shastri,IND,RJ Shastri (IND),1981-1992,150,136,6613,NA,NA,4650,129,5/15,NA,36.04,4.21,51.2,2,1,NA
53191,53191,JE Taylor,WI,JE Taylor (WI),2003-2017,90,88,4341,NA,NA,3780,128,5/48,NA,29.53,5.22,33.9,3,1,NA
49764,49764,AD Mathews,SL,AD Mathews (SL),2008-2023,226,163,5324,NA,NA,4110,126,6/20,NA,32.61,4.63,42.2,2,1,NA
37730,37730,DK Morrison,NZ,DK Morrison (NZ),1987-1996,96,95,4586,NA,NA,3470,126,5/34,NA,27.53,4.53,36.3,1,2,NA
55973,55973,Mohammad Rafique,Asia/BAN,Mohammad Rafique (Asia/BAN),1995-2007,125,124,6414,NA,NA,4739,125,5/47,NA,37.91,4.43,51.3,3,1,NA
230553,230553,KAJ Roach,WI,KAJ Roach (WI),2008-2022,95,93,4579,NA,NA,3885,125,6/27,NA,31.08,5.09,36.6,3,3,NA
39024,39024,Azhar Mahmood,PAK,Azhar Mahmood (PAK),1996-2007,143,139,6242,NA,NA,4813,123,6/18,NA,39.13,4.62,50.7,2,3,NA
430246,430246,YS Chahal,IND,YS Chahal (IND),2016-2023,72,69,3739,NA,NA,3283,121,6/42,NA,27.13,5.26,30.9,5,2,NA
41324,41324,Mohammad Sami,PAK,Mohammad Sami (PAK),2001-2015,87,85,4284,NA,NA,3567,121,5/10,NA,29.47,4.99,35.4,3,1,NA
43590,43590,Wahab Riaz,PAK,Wahab Riaz (PAK),2008-2020,91,90,4327,NA,NA,4117,120,5/46,NA,34.3,5.7,36,5,1,NA
55346,55346,AG Cremer,ZIM,AG Cremer (ZIM),2009-2018,96,95,4680,NA,NA,3597,119,6/46,NA,30.22,4.61,39.3,4,3,NA
414970,414970,SM Sharif,SCOT,SM Sharif (SCOT),2011-2026,94,93,4270,NA,NA,3580,119,5/33,NA,30.08,5.03,35.8,3,2,NA
659081,659081,MRJ Watt,SCOT,MRJ Watt (SCOT),2016-2026,89,87,4582,NA,NA,3260,119,5/33,NA,27.39,4.26,38.5,3,1,NA
51226,51226,IR Bishop,WI,IR Bishop (WI),1988-1997,84,83,4332,NA,NA,3127,118,5/25,NA,26.5,4.33,36.7,7,2,NA
52812,52812,IVA Richards,WI,IVA Richards (WI),1975-1991,187,131,5644,NA,NA,4228,118,6/41,NA,35.83,4.49,47.8,1,2,NA
52912,52912,R Rampaul,WI,R Rampaul (WI),2003-2015,92,88,4033,NA,NA,3434,117,5/49,NA,29.35,5.1,34.4,8,2,NA
398513,398513,SN Netravalkar,USA,SN Netravalkar (USA),2019-2026,74,73,3817,NA,NA,2616,116,5/32,NA,22.55,4.11,32.9,3,2,NA
425639,425639,TL Chatara,ZIM,TL Chatara (ZIM),2013-2023,87,87,4254,NA,NA,3752,115,4/33,NA,32.62,5.29,36.9,1,0,NA
516561,516561,Dawlat Zadran,AFG,Dawlat Zadran (AFG),2011-2019,82,80,3769,NA,NA,3423,115,4/22,NA,29.76,5.44,32.7,3,0,NA
11865,11865,PAJ DeFreitas,ENG,PAJ DeFreitas (ENG),1987-1997,103,103,5712,NA,NA,3775,115,4/35,NA,32.82,3.96,49.6,1,0,NA
542023,542023,L Ngidi,SA,L Ngidi (SA),2018-2025,75,74,3461,NA,NA,3350,115,6/58,NA,29.13,5.8,30,4,2,NA
236779,236779,I Sharma,IND,I Sharma (IND),2007-2016,80,78,3733,NA,NA,3563,115,4/34,NA,30.98,5.72,32.4,6,0,NA
44485,44485,WJ Cronje,SA,WJ Cronje (SA),1992-2000,188,153,5357,NA,NA,3966,114,5/32,NA,34.78,4.44,46.9,1,1,NA
24605,24605,KJ O'Brien,IRE,KJ O'Brien (IRE),2006-2021,153,116,4296,NA,NA,3726,114,4/13,NA,32.68,5.2,37.6,5,0,NA
38398,38398,MC Snedden,NZ,MC Snedden (NZ),1980-1990,93,90,4525,NA,NA,3237,114,4/34,NA,28.39,4.29,39.6,1,0,NA
784379,784379,PW Hasaranga,SL,PW Hasaranga (SL),2017-2026,71,69,3305,NA,NA,2807,113,7/19,NA,24.84,5.09,29.2,5,4,NA
37601,37601,GR Larsen,NZ,GR Larsen (NZ),1990-1999,121,119,6368,NA,NA,4000,113,4/24,NA,35.39,3.76,56.3,1,0,NA
8917,8917,MM Ali,ENG,MM Ali (ENG),2014-2023,138,128,5988,NA,NA,5311,111,4/46,NA,47.84,5.32,53.9,2,0,NA
10772,10772,PD Collingwood,ENG,PD Collingwood (ENG),2001-2011,197,151,5186,NA,NA,4294,111,6/31,NA,38.68,4.96,46.7,3,1,NA
348034,348034,GH Dockrell,IRE,GH Dockrell (IRE),2010-2025,133,110,4871,NA,NA,3984,111,4/24,NA,35.89,4.9,43.8,4,0,NA
41308,41308,Mudassar Nazar,PAK,Mudassar Nazar (PAK),1977-1989,122,104,4855,NA,NA,3432,111,5/28,NA,30.91,4.24,43.7,1,1,NA
36084,36084,Yuvraj Singh,Asia/IND,Yuvraj Singh (Asia/IND),2000-2017,304,161,5048,NA,NA,4294,111,5/31,NA,38.68,5.1,45.4,2,1,NA
259551,259551,Junaid Khan,PAK,Junaid Khan (PAK),2011-2019,76,76,3601,NA,NA,3216,110,4/12,NA,29.23,5.35,32.7,4,0,NA
42272,42272,Naved-ul-Hasan,PAK,Naved-ul-Hasan (PAK),2003-2010,74,72,3466,NA,NA,3221,110,6/27,NA,29.28,5.57,31.5,6,1,NA
38620,38620,DR Tuffey,NZ,DR Tuffey (NZ),2000-2010,94,92,4333,NA,NA,3534,110,4/24,NA,32.12,4.89,39.3,2,0,NA
9310,9310,TT Bresnan,ENG,TT Bresnan (ENG),2006-2015,85,84,4221,NA,NA,3813,109,5/48,NA,34.98,5.42,38.7,3,1,NA
49619,49619,RAS Lakmal,SL,RAS Lakmal (SL),2009-2021,86,84,3881,NA,NA,3534,109,4/13,NA,32.42,5.46,35.6,3,0,NA
50848,50848,GP Wickramasinghe,SL,GP Wickramasinghe (SL),1990-2002,134,132,5720,NA,NA,4321,109,4/48,NA,39.64,4.53,52.4,1,0,NA
6995,6995,SP O'Donnell,AUS,SP O'Donnell (AUS),1985-1991,87,87,4350,NA,NA,3102,108,5/13,NA,28.72,4.27,40.2,5,1,NA
51050,51050,DNT Zoysa,SL,DNT Zoysa (SL),1997-2007,95,93,4259,NA,NA,3213,108,5/26,NA,29.75,4.52,39.4,2,1,NA
1161606,1161606,Haris Rauf,PAK,Haris Rauf (PAK),2020-2026,59,59,2850,NA,NA,2750,107,5/18,NA,25.7,5.78,26.6,5,2,NA
48462,48462,PA de Silva,SL,PA de Silva (SL),1984-2003,308,156,5148,NA,NA,4177,106,4/30,NA,39.4,4.86,48.5,2,0,NA
