cricinfo_id,unique_player_id,final_player_name,source_country_text
5607,5607,AL Hassett,AUS
313432,313432,AL Kandappah,CAN
1283581,1283581,AL Kerai,SLE
1362926,1362926,AL Leutogi,Samoa
52347,52347,AL Logie,WI
6477,6477,AL Mann,AUS
1479991,1479991,AL Motshegetsi,BOT
46674,46674,AL Ochse,SA
52667,52667,AL Padmore,WI
540316,540316,AL Phehlukwayo,SA
524281,524281,AL Stephen,VAN
7944,7944,AL Thomson,AUS
53196,53196,AL Valentine,WI
35933,35933,AL Wadekar,IND
48447,48447,ALF de Mel,SL
44024,44024,AM Bacher,SA
55259,55259,AM Blignaut,ZIM
36993,36993,AM Ellis,NZ
786925,786925,AM Fernando,SL
1326798,1326798,AM Ghazanfar,AFG
49013,49013,AM Guruge,UAE
1124283,1124283,AM Hardie,AUS
470752,470752,AM Kimote,TAN
37702,37702,AM Matheson,NZ
230556,230556,AM McCarthy,WI
17022,17022,AM Miller,ENG
37724,37724,AM Moir,NZ
32091,32091,AM Nayar,IND
522225,522225,AM Oyede,NGA
32149,32149,AM Pai,IND
1360656,1360656,AM Patel,PAN
46942,46942,AM Phangiso,SA
277916,277916,AM Rahane,IND
1455275,1455275,AM Rajpurohit,GMB
34264,34264,AM Salvi,IND
23826,23826,AM Samad,CAN
20224,20224,AM Smith,ENG
7691,7691,AM Stuart,AUS
1195664,1195664,AM Tribe,JER
48450,48450,AM de Silva,SL
47003,47003,AMB Rowan,SA
52817,52817,AME Roberts,WI
5656,5656,AMJ Hilditch,AUS
48118,48118,AMJG Amerasinghe,SL
49634,49634,AMN Munasinghe,SL
1286505,1286505,AN Aminou,CAM
4613,4613,AN Connolly,AUS
11728,11728,AN Cook,ENG
24124,24124,AN French,HKG
14267,14267,AN Hornby,ENG
1159150,1159150,AN Hyobeom,SKOR
214695,214695,AN Kervezee,NED
1437344,1437344,AN Lascu,ROM
46934,46934,AN Petersen,SA
50241,50241,AN Ranasinghe,SL
1286504,1286504,AN Toube,CAM
15534,15534,AO Jones,ENG
30912,30912,AO Malhotra,IND
24723,24723,AO Suji,KENYA
51223,51223,AP Binns,WI
36948,36948,AP Devcich,NZ
12918,12918,AP Freeman,ENG
13437,13437,AP Grayson,ENG
49005,49005,AP Gurusinha,SL
15380,15380,AP Igglesden,ENG
45840,45840,AP Kuiper,SA
16364,16364,AP Lucas,ENG
6492,6492,AP Marr,AUS
