unique_player_id,format,HasBowlingDetail,DetailBalls,DetailMaidens,DetailRunsConceded,DetailOvers
43860,odi,FALSE,NA,NA,NA,NA
43860,test,FALSE,NA,NA,NA,NA
43871,odi,TRUE,294,1,246,49.0
43871,test,TRUE,4478,143,2129,746.2
43906,odi,FALSE,NA,NA,NA,NA
43906,test,TRUE,54,0,37,9.0
43909,odi,TRUE,60,0,40,10.0
43913,test,FALSE,NA,NA,NA,NA
43919,odi,TRUE,1109,7,815,184.5
43919,test,TRUE,8850,339,4405,1475.0
43923,test,TRUE,5507,218,2195,917.5
439288,odi,TRUE,120,2,131,20.0
439288,test,TRUE,168,5,85,28.0
43933,test,FALSE,NA,NA,NA,NA
43938,test,TRUE,259,18,95,43.1
439952,odi,TRUE,1894,10,1756,315.4
439952,test,TRUE,623,15,459,103.5
44014,odi,TRUE,30,0,20,5.0
440162,odi,TRUE,96,1,79,16.0
44024,odi,TRUE,108,0,64,18.0
44024,test,TRUE,6,0,4,1.0
44026,test,FALSE,NA,NA,NA,NA
44040,test,TRUE,1524,28,806,254.0
44045,test,TRUE,2931,115,1362,488.3
440516,odi,FALSE,NA,NA,NA,NA
440516,test,TRUE,18,0,13,3.0
440517,odi,FALSE,NA,NA,NA,NA
440522,odi,TRUE,1773,17,1649,295.3
440523,odi,TRUE,309,3,315,51.3
44056,test,TRUE,166,3,99,27.4
44059,test,TRUE,6,1,0,1.0
44062,test,TRUE,120,0,130,20.0
44065,test,TRUE,3342,89,1567,557.0
44070,odi,TRUE,65,1,44,10.5
44076,test,FALSE,NA,NA,NA,NA
44078,test,TRUE,989,28,469,164.5
440780,test,TRUE,73,1,55,12.1
44079,test,FALSE,NA,NA,NA,NA
44082,test,TRUE,3888,132,1817,648.0
44084,test,TRUE,360,18,125,60.0
44088,test,TRUE,138,2,91,23.0
44089,odi,TRUE,6,0,8,1.0
44091,odi,TRUE,4541,22,3415,756.5
44091,test,TRUE,8620,293,4265,1436.4
44092,test,TRUE,12,0,16,2.0
440963,odi,TRUE,1257,14,1033,209.3
440968,odi,TRUE,340,4,304,56.4
440968,test,TRUE,993,32,512,165.3
44097,odi,TRUE,51,0,66,8.3
44097,test,TRUE,237,9,104,39.3
440970,odi,TRUE,48,0,61,8.0
440970,test,TRUE,264,1,164,44.0
440977,odi,TRUE,612,8,485,102.0
44098,odi,FALSE,NA,NA,NA,NA
440990,odi,TRUE,240,0,181,40.0
44102,odi,TRUE,1560,22,1134,260.0
44109,test,TRUE,828,37,337,138.0
44111,odi,FALSE,NA,NA,NA,NA
44111,test,TRUE,8,0,6,1.2
44116,test,FALSE,NA,NA,NA,NA
44121,test,FALSE,NA,NA,NA,NA
44124,test,TRUE,1810,101,599,301.4
44132,test,TRUE,318,7,189,53.0
44138,odi,TRUE,378,1,323,63.0
44143,test,TRUE,660,37,257,110.0
44147,test,TRUE,144,4,52,24.0
44149,odi,TRUE,3823,13,2916,637.1
44149,test,TRUE,1017,29,573,169.3
443150,odi,FALSE,NA,NA,NA,NA
443150,test,FALSE,NA,NA,NA,NA
443263,odi,TRUE,1087,1,1010,181.1
4433,odi,FALSE,NA,NA,NA,NA
44407,odi,TRUE,30,0,37,5.0
44410,odi,TRUE,748,2,719,124.4
444135,odi,TRUE,919,12,722,153.1
444135,test,TRUE,3151,66,1599,525.1
44416,odi,TRUE,444,2,365,74.0
44419,test,FALSE,NA,NA,NA,NA
44421,test,FALSE,NA,NA,NA,NA
44424,test,FALSE,NA,NA,NA,NA
44426,test,TRUE,1475,47,694,245.5
44427,test,TRUE,342,7,162,57.0
44430,test,TRUE,126,1,104,21.0
44435,test,TRUE,6,0,2,1.0
44438,test,TRUE,253,11,100,42.1
44440,test,TRUE,138,4,92,23.0
44441,test,TRUE,1425,63,577,237.3
44450,test,TRUE,138,5,47,23.0
44451,test,TRUE,12,0,7,2.0
44454,test,FALSE,NA,NA,NA,NA
44455,test,FALSE,NA,NA,NA,NA
44460,test,TRUE,366,22,103,61.0
44463,test,FALSE,NA,NA,NA,NA
44465,odi,FALSE,NA,NA,NA,NA
44465,test,FALSE,NA,NA,NA,NA
44468,test,FALSE,NA,NA,NA,NA
44474,test,TRUE,576,24,245,96.0
44480,test,TRUE,18,0,23,3.0
44481,test,TRUE,1428,30,747,238.0
44485,odi,TRUE,5357,33,3966,892.5
44485,test,TRUE,3800,243,1288,633.2
44486,odi,TRUE,1221,5,1011,203.3
44489,odi,TRUE,174,0,124,29.0
44489,test,TRUE,120,3,71,20.0
44491,test,FALSE,NA,NA,NA,NA
44493,odi,TRUE,175,1,132,29.1
4451,odi,FALSE,NA,NA,NA,NA
4451,test,FALSE,NA,NA,NA,NA
446101,odi,TRUE,1148,6,1134,191.2
446101,test,TRUE,9379,269,5348,1563.1
446507,odi,TRUE,12,0,17,2.0
446507,test,FALSE,NA,NA,NA,NA
446548,odi,TRUE,716,3,725,119.2
446548,test,TRUE,3191,122,1524,531.5
