unique_player_id,format,HasBattingDetail,DetailBallsFaced,DetailFours,DetailSixes
1415039,odi,FALSE,NA,NA,NA
1415052,odi,TRUE,73,6,1
14152,odi,TRUE,61,1,0
14152,test,TRUE,939,35,1
14153,odi,TRUE,912,68,7
14158,test,TRUE,3470,274,9
14159,odi,TRUE,22,0,0
14159,test,TRUE,429,17,0
14171,test,TRUE,0,0,0
1418371,odi,TRUE,93,5,3
14187,odi,TRUE,5191,278,41
14187,test,TRUE,6920,450,22
14189,test,TRUE,676,15,3
1419054,odi,TRUE,378,32,7
14196,test,TRUE,0,0,0
14197,test,TRUE,49,3,0
14213,test,TRUE,0,0,1
14220,test,TRUE,0,58,3
14222,test,TRUE,58,12,1
14225,test,TRUE,5449,316,8
14227,test,TRUE,97,2,1
14236,odi,TRUE,30,0,0
14236,test,TRUE,2090,42,0
14240,test,TRUE,16,0,0
14244,odi,TRUE,807,46,4
14244,test,TRUE,158,7,1
14246,odi,TRUE,381,34,3
14246,test,TRUE,118,6,0
14249,test,TRUE,0,0,1
14254,test,TRUE,0,4,0
14257,test,TRUE,0,0,0
14265,test,TRUE,93,0,0
14267,test,TRUE,24,1,0
1427052,odi,TRUE,6,0,0
14273,test,TRUE,0,6,0
14282,test,TRUE,0,0,0
14284,test,TRUE,66,0,0
14286,test,TRUE,0,0,0
14302,odi,TRUE,24,0,0
14306,test,TRUE,0,3,0
14312,test,TRUE,0,8,1
14325,odi,TRUE,3481,208,15
14325,test,TRUE,14272,734,24
14327,test,TRUE,0,33,1
14334,test,TRUE,3107,475,7
14336,test,TRUE,546,29,1
1441684,odi,TRUE,6,0,0
1443393,odi,TRUE,29,0,0
1444089,odi,TRUE,171,13,1
1444101,odi,FALSE,NA,NA,NA
1444109,odi,TRUE,62,1,0
1444192,odi,TRUE,5,0,0
1453642,odi,TRUE,846,63,8
1456606,odi,TRUE,230,13,0
1456611,odi,TRUE,70,2,8
1457840,odi,TRUE,182,13,7
1457849,odi,TRUE,367,15,13
1457977,odi,TRUE,464,23,6
1460485,odi,TRUE,105,1,0
1460551,odi,TRUE,39,2,5
1472723,odi,TRUE,61,3,1
1474134,odi,TRUE,9,0,0
1481834,odi,TRUE,159,8,2
1481835,odi,TRUE,21,1,1
1495161,odi,TRUE,3,0,0
1500442,odi,TRUE,127,5,0
1500478,odi,TRUE,20,2,1
1500480,odi,TRUE,13,0,0
1500587,odi,TRUE,92,2,6
1504905,odi,TRUE,43,3,1
1508988,odi,TRUE,383,19,11
1508989,odi,TRUE,93,7,1
1511696,odi,TRUE,9,0,0
1518812,odi,TRUE,6,0,0
1518831,odi,FALSE,NA,NA,NA
1532751,odi,TRUE,177,10,6
15379,test,TRUE,0,0,0
15380,odi,TRUE,31,2,0
15380,test,TRUE,54,0,0
15381,test,TRUE,579,38,0
15383,odi,TRUE,119,4,0
15383,test,TRUE,399,15,0
15385,odi,TRUE,18,0,0
15385,test,TRUE,4052,172,3
15388,test,TRUE,131,4,0
15399,test,TRUE,0,25,0
1540089,odi,TRUE,15,2,0
15403,odi,TRUE,549,23,2
15403,test,TRUE,168,11,0
15461,odi,TRUE,93,3,0
15461,test,TRUE,207,2,0
15463,test,TRUE,1,118,0
15464,test,TRUE,0,3,0
15468,odi,TRUE,158,3,0
15468,test,TRUE,427,25,3
15477,test,TRUE,283,6,0
15481,test,TRUE,2110,53,0
15485,odi,TRUE,39,1,1
15485,test,TRUE,339,11,0
15495,test,TRUE,98,0,0
15501,odi,TRUE,1117,74,14
15501,test,TRUE,2165,155,12
15509,test,TRUE,16,61,3
15511,odi,TRUE,182,10,2
15522,odi,TRUE,20,1,1
15522,test,TRUE,101,6,3
15534,test,TRUE,0,7,0
15547,test,TRUE,133,5,0
15555,odi,TRUE,2,0,0
15555,test,TRUE,395,29,3
15571,test,TRUE,262,2,0
15572,test,TRUE,0,8,0
15841,test,TRUE,96,0,0
15858,test,TRUE,0,0,0
15866,test,TRUE,0,10,0
15876,odi,TRUE,135,6,0
15876,test,TRUE,1639,97,2
15882,test,TRUE,0,0,0
15884,test,TRUE,266,19,0
15889,test,TRUE,0,0,0
15892,test,TRUE,139,5,0
15901,odi,TRUE,11,0,0
15901,test,TRUE,129,1,1
15908,test,TRUE,0,7,0
