cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
31021,31021,RS Modi,IND,True,Rusitomji Sheriyar Modi,Rusi Modi,Rusi,Modi,1924-11-11,False,inactive,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,India,India|Mumbai|Parsees
52445,52445,RS Morton,WI,True,Runako Shakur Morton,Runako Morton,Runako,Morton,1978-07-22,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Batter,BT,West Indies,West Indies|Leeward Islands|Trinidad & Tobago
34078,34078,RS Sodhi,IND,True,Reetinder Singh Sodhi,Reetinder Sodhi,Reetinder,Sodhi,1980-10-18,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Allrounder,AR,India,India|Ahmedabad Rockets|India Maharajas|Punjab Kings|Punjab
49206,49206,RSA Jayasekera,SL,True,Rohan Stanley Amarasiriwardene Jayasekera,Rohan Jayasekera,Rohan,Jayasekera,1957-12-07,False,inactive,RHB,Right Hand Bat,,,Unknown,UKN,Sri Lanka,Canada|Sri Lanka
1326556,1326556,RSK Samson,VAN,True,Rival Shem Kalomirata Samson,Rival Samson,Rival,Samson,2000-04-29,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Vanuatu,Vanuatu
36287,36287,RT Barber,NZ,True,Richard Trevor Barber,Trevor Barber,Trevor,Barber,1925-06-23,False,inactive,RHB,Right Hand Bat,,,Unknown,UKN,New Zealand,New Zealand|Central Districts|Wellington
275943,275943,RT Crandon,WI,True,Royston Tycho Crandon,Royston Crandon,Royston,Crandon,1983-05-31,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Batter,BT,West Indies,Guyana
37240,37240,RT Hart,NZ,True,Ronald Terence Hart,Ron Hart,Ron,Hart,1961-11-07,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,New Zealand,New Zealand|Central Districts|Wellington
37602,37602,RT Latham,NZ,True,Rodney Terry Latham,Rod Latham,Rod,Latham,1961-06-12,False,inactive,RHB,Right Hand Bat,RM,Right Arm Medium,Top-order batter,TBT,New Zealand,New Zealand|Canterbury
25475,25475,RT Lyons,SCOT,True,Ross Thomas Lyons,Ross Lyons,Ross,Lyons,1984-12-08,True,active,LHB,Left Hand Bat,SLA,Slow Left Arm Orthodox,Unknown,UKN,Scotland,Scotland|Scotland Under-19s
7133,7133,RT Ponting,AUS,True,Ricky Thomas Ponting,Ricky Ponting,Ricky,Ponting,1974-12-19,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Top-order batter,TBT,Australia,Australia|Antigua Hawksbills|Hobart Hurricanes|World-XI|Kolkata Knight Riders|Mumbai Indians|Somerset|Surrey|Tasmania
7133,7133,RT Ponting,AUS/ICC,True,Ricky Thomas Ponting,Ricky Ponting,Ricky,Ponting,1974-12-19,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Top-order batter,TBT,Australia,Australia|Antigua Hawksbills|Hobart Hurricanes|World-XI|Kolkata Knight Riders|Mumbai Indians|Somerset|Surrey|Tasmania
19445,19445,RT Robinson,ENG,True,Robert Timothy Robinson,Tim Robinson,Tim,Robinson,1958-11-21,False,inactive,RHB,Right Hand Bat,RM,Right Arm Medium,Opening batter,OBT,England,England|Nottinghamshire
1082748,1082748,RT Rubbi,INA,True,Rizky Tri Rubbi,Rizky Rubbi,Rizky,Rubbi,1992-09-14,True,active,RHB,Right Hand Bat,,,Unknown,UKN,Indonesia,Indonesia
20198,20198,RT Simpson,ENG,True,Reginald Thomas Simpson,Reg Simpson,Reg,Simpson,1920-02-27,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,England,England|Europeans (India)|Nottinghamshire|Sindh
20317,20317,RT Spooner,ENG,True,Richard Thompson Spooner,Dick Spooner,Dick,Spooner,1919-12-30,False,inactive,LHB,Left Hand Bat,,,Unknown,UKN,England,England|Warwickshire
20338,20338,RT Stanyforth,ENG,True,Ronald Thomas Stanyforth,Rony Stanyforth,Rony,Stanyforth,1892-05-30,False,inactive,RHB,Right Hand Bat,,,Unknown,UKN,England,England|Oxford University|Yorkshire
18504,18504,RTD Perks,ENG,True,Reginald Thomas David Perks,Reg Perks,Reg,Perks,1911-10-04,False,inactive,LHB,Left Hand Bat,RFM,Right Arm Fast Medium,Unknown,UKN,England,England|Worcestershire
629084,629084,RTM Mendis,SL,True,Wanigamuni Ramesh Tarinda Mendis,Ramesh Mendis,Ramesh,Mendis,1995-07-07,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Allrounder,AR,Sri Lanka,Sri Lanka|B-Love Kandy|Bloomfield Cricket and Athletic Club|Colombo Kaps|Dambulla|Dambulla Thunders|FOG-Seenigama|Galle|Kandy|Kandy Royals|Moors Sports Club|Sinhalese Sports Club|Sri Lanka A|Sri Lanka Board XI|Sri Lanka Emerging Players|Sri Lanka Under-19s
28095,28095,RV Divecha,IND,True,Ramesh Vithaldas Divecha,Ramesh Divecha,Ramesh,Divecha,1927-10-18,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,India,India|Madhya Pradesh|Mumbai|Northamptonshire|Oxford University|Saurashtra
1509237,1509237,RV Nascimento,BRA,True,Riquelmi Verni Nascimento,Riquelmi Nascimento,Riquelmi,Nascimento,2007-06-12,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Brazil,Brazil
35582,35582,RV Uthappa,IND,True,Robin Venu Uthappa,Robin Uthappa,Robin,Uthappa,1985-11-11,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Batter,BT,India,India|Air India|Air India Red|Atlanta Riders|Bangalore Brigadiers (Urban)|Bangla Tigers|Bellary Tuskers|Bengaluru Blasters|Bijapur Bulls|Chennai Super Kings|Cricket Club of India|Dubai Capitals|India A|India B|India Blue|India Green|India Maharajas|India Red|India Under-19s|Indian Board President's XI|Karnataka|Karnataka State Cricket Association|Karnataka State Cricket Association President's XI|Karnataka State Cricket Association XI|Kerala|Kolkata Knight Riders|Manipal Tigers|Mumbai Indians|Pune Warriors|Rajasthan Royals|Reebok XI|Rest of India|Royal Challengers Bengaluru|Saurashtra|South Zone
1428999,1428999,RV Viraj,CAM,True,Raddella Vimukthi Viraj,Vimukthi Viraj,Vimukthi,Viraj,1994-11-20,True,active,RHB,Right Hand Bat,LB,Leg Break,Unknown,UKN,Cambodia,Cambodia
24687,24687,RW Ali,KENYA,True,Rajab Wazir Ali,Rajab Ali,Rajab,Ali,1965-11-19,False,inactive,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,Kenya,Kenya|Simba Union
36180,36180,RW Anderson,NZ,True,Robert Wickham Anderson,Robert Anderson,Robert,Anderson,1948-10-02,False,inactive,RHB,Right Hand Bat,LB,Leg Break,Unknown,UKN,New Zealand,New Zealand|Canterbury|Central Districts|Northern Districts|Otago
8982,8982,RW Barber,ENG,True,Robert William Barber,Bob Barber,Bob,Barber,1935-09-26,False,inactive,LHB,Left Hand Bat,LBG,Leg Break Googly,Allrounder,AR,England,England|Cambridge University|Lancashire|Warwickshire
36300,36300,RW Blair,NZ,True,Robert William Blair,Bob Blair,Bob,Blair,1932-06-23,False,inactive,RHB,Right Hand Bat,RFM,Right Arm Fast Medium,Unknown,UKN,New Zealand,New Zealand|Central Districts|Wellington
293831,293831,RW Chakabva,ZIM,True,Regis Wiriranai Chakabva,Regis Chakabva,Regis,Chakabva,1987-09-20,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Wicketkeeper batter,WBT,Zimbabwe,Zimbabwe|Mashonaland Eagles|Mashonaland Eagles B|Northerns (Zimbabwe)|Takashinga Patriots 1|Zimbabwe A|Zimbabwe Board XI|Zimbabwe Chairman's XI|Zimbabwe Cricket Academy|Zimbabwe President's XI|Zimbabwe Provinces|Zimbabwe Select XI|Zimbabwe Under-19s|Zimbabwe XI
1453230,1453230,RW Hartley,SRB,True,Rhys Wiliam Hartley,Rhys Hartley,Rhys,Hartley,1994-03-14,True,active,RHB,Right Hand Bat,,,Unknown,UKN,Serbia,Serbia
