cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,format
1418371,1418371,OJ Peake,AUS,OJ Peake (AUS),2026-2026,4,4,0,0,0,0,0,0,0,odi
55692,55692,GE Peckover,ZIM,GE Peckover (ZIM),1983-1983,3,3,0,0,0,0,0,0,0,odi
414969,414969,CW Perchard,JER,CW Perchard (JER),2023-2023,5,5,0,0,0,0,0,0,0,odi
49857,49857,KG Perera,SL,KG Perera (SL),1986-1986,1,1,0,0,0,0,0,0,0,odi
52678,52678,N Phillip,WI,N Phillip (WI),1978-1978,1,1,0,0,0,0,0,0,0,odi
49861,49861,HSM Pieris,SL,HSM Pieris (SL),1975-1975,3,3,0,0,0,0,0,0,0,odi
276539,276539,ADJ Pitcher,BER,ADJ Pitcher (BER),2007-2007,3,3,0,0,0,0,0,0,0,odi
18557,18557,PI Pocock,ENG,PI Pocock (ENG),1985-1985,1,1,0,0,0,0,0,0,0,odi
23969,23969,DJ Pringle,EAf,DJ Pringle (EAf),1975-1975,2,2,0,0,0,0,0,0,0,odi
1193548,1193548,TJG Pringle,NED,TJG Pringle (NED),2022-2022,4,4,0,0,0,0,0,0,0,odi
32540,32540,CA Pujara,IND,CA Pujara (IND),2013-2014,5,4,0,0,0,0,0,0,0,odi
796331,796331,Y Punja,UAE,Y Punja (UAE),2015-2015,1,1,0,0,0,0,0,0,0,odi
49868,49868,M Pushpakumara,SL,M Pushpakumara (SL),2009-2010,3,2,0,0,0,0,0,0,0,odi
914171,914171,Qais Ahmad,AFG,Qais Ahmad (AFG),2022-2024,3,3,0,0,0,0,0,0,0,odi
952207,952207,S Qeshile,SA,S Qeshile (SA),2025-2025,2,2,0,0,0,0,0,0,0,odi
19316,19316,CT Radley,ENG,CT Radley (ENG),1978-1978,4,4,0,0,0,0,0,0,0,odi
56066,56066,Rafiqul Alam,BAN,Rafiqul Alam (BAN),1986-1986,2,2,0,0,0,0,0,0,0,odi
56077,56077,Rafiqul Islam,BAN,Rafiqul Islam (BAN),2002-2002,1,1,0,0,0,0,0,0,0,odi
342619,342619,PBB Rajapaksa,SL,PBB Rajapaksa (SL),2021-2021,5,5,0,0,0,0,0,0,0,odi
52913,52913,RR Ramdass,WI,RR Ramdass (WI),2005-2005,1,1,0,0,0,0,0,0,0,odi
52805,52805,D Ramnarine,WI,D Ramnarine (WI),1997-2001,4,4,0,0,0,0,0,0,0,odi
500236,500236,DR Ramsammy,CAN,DR Ramsammy (CAN),2012-2012,1,1,0,0,0,0,0,0,0,odi
25612,25612,Ramveer Rai,UAE,Ramveer Rai (UAE),2004-2004,1,1,0,0,0,0,0,0,0,odi
604527,604527,N Rana,IND,N Rana (IND),2021-2021,1,1,0,0,0,0,0,0,0,odi
50241,50241,AN Ranasinghe,SL,AN Ranasinghe (SL),1975-1982,9,9,0,0,0,0,0,0,0,odi
50246,50246,N Ranatunga,SL,N Ranatunga (SL),1993-1993,2,2,0,0,0,0,0,0,0,odi
33085,33085,Randhir Singh,IND,Randhir Singh (IND),1981-1983,2,2,0,0,0,0,0,0,0,odi
25860,25860,Rashid Zia,USA,Rashid Zia (USA),2004-2004,2,2,0,0,0,0,0,0,0,odi
1171180,1171180,P Rathnayake,SL,P Rathnayake (SL),2025-2026,6,5,0,0,0,0,0,0,0,odi
50248,50248,NLK Ratnayake,SL,NLK Ratnayake (SL),1989-1990,2,2,0,0,0,0,0,0,0,odi
33129,33129,SS Raul,IND,SS Raul (IND),1998-1998,2,2,0,0,0,0,0,0,0,odi
1175441,1175441,Ravi Bishnoi,IND,Ravi Bishnoi (IND),2022-2022,1,1,0,0,0,0,0,0,0,odi
343548,343548,Raza Hasan,PAK,Raza Hasan (PAK),2014-2014,1,1,0,0,0,0,0,0,0,odi
38244,38244,RE Redmond,NZ,RE Redmond (NZ),1973-1973,2,2,0,0,0,0,0,0,0,odi
25955,25955,B Regmi,NEP,B Regmi (NEP),2018-2019,4,4,0,0,0,0,0,0,0,odi
25872,25872,CA Reid,USA,CA Reid (USA),2004-2004,2,2,0,0,0,0,0,0,0,odi
450101,450101,RA Reifer,WI,RA Reifer (WI),2019-2023,6,6,0,0,0,0,0,0,0,odi
46976,46976,CEB Rice,SA,CEB Rice (SA),1991-1991,3,3,0,0,0,0,0,0,0,odi
364302,364302,EJ Richardson,IRE,EJ Richardson (IRE),2013-2013,2,2,0,0,0,0,0,0,0,odi
475816,475816,EB Ringera,KENYA,EB Ringera (KENYA),2011-2011,1,1,0,0,0,0,0,0,0,odi
55737,55737,HP Rinke,ZIM,HP Rinke (ZIM),2006-2006,18,18,0,0,0,0,0,0,0,odi
25609,25609,Rizwan Latif,UAE,Rizwan Latif (UAE),2004-2004,1,1,0,0,0,0,0,0,0,odi
38255,38255,SJ Roberts,NZ,SJ Roberts (NZ),1990-1990,2,2,0,0,0,0,0,0,0,odi
1290929,1290929,TB Robinson,NZ,TB Robinson (NZ),2024-2024,3,2,0,0,0,0,0,0,0,odi
227455,227455,Robiul Islam,BAN,Robiul Islam (BAN),2013-2013,3,3,0,0,0,0,0,0,0,odi
370535,370535,TS Roland-Jones,ENG,TS Roland-Jones (ENG),2017-2017,1,1,0,0,0,0,0,0,0,odi
547085,547085,Saad Ali,PAK,Saad Ali (PAK),2019-2019,2,2,0,0,0,0,0,0,0,odi
1339104,1339104,Saad Masood,PAK,Saad Masood (PAK),2026-2026,1,1,0,0,0,0,0,0,0,odi
317248,317248,Saad Nasim,PAK,Saad Nasim (PAK),2015-2015,3,3,0,0,0,0,0,0,0,odi
524095,524095,Sagar Pun,NEP,Sagar Pun (NEP),2018-2018,1,1,0,0,0,0,0,0,0,odi
56094,56094,Saiful Islam,BAN,Saiful Islam (BAN),1990-1997,7,7,0,0,0,0,0,0,0,odi
56096,56096,Sajjad Ahmed,BAN,Sajjad Ahmed (BAN),1995-1995,2,2,0,0,0,0,0,0,0,odi
42612,42612,Sajjad Akbar,PAK,Sajjad Akbar (PAK),1990-1990,2,2,0,0,0,0,0,0,0,odi
42624,42624,Saleem Pervez,PAK,Saleem Pervez (PAK),1980-1980,1,1,0,0,0,0,0,0,0,odi
25543,25543,Saleem Raza,UAE,Saleem Raza (UAE),1994-1996,6,6,0,0,0,0,0,0,0,odi
626111,626111,Salman Faris,UAE,Salman Faris (UAE),2014-2014,3,3,0,0,0,0,0,0,0,odi
25552,25552,Salman Farooq,UAE,Salman Farooq (UAE),2014-2014,1,1,0,0,0,0,0,0,0,odi
43235,43235,Samiullah Khan,PAK,Samiullah Khan (PAK),2008-2008,2,2,0,0,0,0,0,0,0,odi
547079,547079,Sami Aslam,PAK,Sami Aslam (PAK),2015-2016,4,4,0,0,0,0,0,0,0,odi
43041,43041,Sami Faridi,CAN,Sami Faridi (CAN),2008-2008,3,3,0,0,0,0,0,0,0,odi
499660,499660,GS Sandhu,AUS,GS Sandhu (AUS),2015-2015,2,2,0,0,0,0,0,0,0,odi
1170471,1170471,T Sangha,AUS,T Sangha (AUS),2023-2026,6,6,0,0,0,0,0,0,0,odi
524050,524050,Sayed Shirzad,AFG,Sayed Shirzad (AFG),2019-2019,2,1,0,0,0,0,0,0,0,odi
24945,24945,RH Scholte,NED,RH Scholte (NED),2002-2003,5,5,0,0,0,0,0,0,0,odi
47165,47165,BN Schultz,SA,BN Schultz (SA),1992-1992,1,1,0,0,0,0,0,0,0,odi
857979,857979,GLS Scrimshaw,ENG,GLS Scrimshaw (ENG),2023-2023,1,1,0,0,0,0,0,0,0,odi
23788,23788,GR Sealy,CAN,GR Sealy (CAN),1979-1979,3,3,0,0,0,0,0,0,0,odi
33891,33891,TAP Sekhar,IND,TAP Sekhar (IND),1983-1985,4,4,0,0,0,0,0,0,0,odi
1163695,1163695,KR Sen,IND,KR Sen (IND),2022-2022,1,1,0,0,0,0,0,0,0,odi
56101,56101,Shafiuddin Ahmed,BAN,Shafiuddin Ahmed (BAN),1997-2000,11,11,0,0,0,0,0,0,0,odi
56102,56102,Shaheedur Rahman,BAN,Shaheedur Rahman (BAN),1986-1986,2,2,0,0,0,0,0,0,0,odi
42641,42641,Shahid Anwar,PAK,Shahid Anwar (PAK),1996-1996,1,1,0,0,0,0,0,0,0,odi
1203995,1203995,Shahnawaz Dahani,PAK,Shahnawaz Dahani (PAK),2022-2022,2,2,0,0,0,0,0,0,0,odi
25545,25545,Shehzad Altaf,UAE,Shehzad Altaf (UAE),1996-1996,2,2,0,0,0,0,0,0,0,odi
299814,299814,Shahzad Khan,CAN,Shahzad Khan (CAN),2007-2007,1,1,0,0,0,0,0,0,0,odi
370846,370846,Shahzaib Hasan,PAK,Shahzaib Hasan (PAK),2010-2010,3,3,0,0,0,0,0,0,0,odi
1500480,1500480,Shah Faisal,OMA,Shah Faisal (OMA),2026-2026,2,2,0,0,0,0,0,0,0,odi
42648,42648,Shakeel Ahmed jnr,PAK,Shakeel Ahmed jnr (PAK),1995-1995,2,2,0,0,0,0,0,0,0,odi
42652,42652,Shakeel Khan,PAK,Shakeel Khan (PAK),1987-1987,1,1,0,0,0,0,0,0,0,odi
23866,23866,A Shamshudeen,CAN,A Shamshudeen (CAN),2007-2007,1,1,0,0,0,0,0,0,0,odi
303437,303437,JNK Shannon,IRE,JNK Shannon (IRE),2013-2013,1,1,0,0,0,0,0,0,0,odi
56098,56098,Shariful Haque,BAN,Shariful Haque (BAN),1998-1998,1,1,0,0,0,0,0,0,0,odi
33958,33958,PH Sharma,IND,PH Sharma (IND),1976-1976,2,2,0,0,0,0,0,0,0,odi
7597,7597,AP Sheahan,AUS,AP Sheahan (AUS),1972-1972,3,3,0,0,0,0,0,0,0,odi
56118,56118,Sheikh Salahuddin,BAN,Sheikh Salahuddin (BAN),1997-1997,6,6,0,0,0,0,0,0,0,odi
342182,342182,V Shetty,UAE,V Shetty (UAE),2008-2014,2,2,0,0,0,0,0,0,0,odi
230860,230860,M Shezi,SA,M Shezi (SA),2014-2014,1,1,0,0,0,0,0,0,0,odi
801817,801817,M Shiraz,SL,M Shiraz (SL),2024-2024,2,2,0,0,0,0,0,0,0,odi
52932,52932,S Shivnarine,WI,S Shivnarine (WI),1978-1978,1,1,0,0,0,0,0,0,0,odi
402992,402992,Shuvagata Hom,BAN,Shuvagata Hom (BAN),2011-2011,4,4,0,0,0,0,0,0,0,odi
7612,7612,JD Siddons,AUS,JD Siddons (AUS),1988-1988,1,1,0,0,0,0,0,0,0,odi
50460,50460,EHSN Silva,UAE,EHSN Silva (UAE),2008-2008,1,1,0,0,0,0,0,0,0,odi
