team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug
1587,Bihar Under-14s,Bihar Under-14s,,,bihar-under-14s
424049,Bijapur Bulls,Bijapur Bulls,BIJA,BIJA,bijapur-bulls
1080372,Bikaner Desert Challengers,Bikaner Desert Challengers,BDC,BDC,bikaner-desert-challengers
675,Biman Bangladesh,Biman Bangladesh,Biman,Biman,biman-bangladesh
1089692,Biratnagar Kings,Biratnagar Kings,KINGS,KINGS,biratnagar-kings
1162759,Biratnagar Titans,Biratnagar Titans,BT,BT,biratnagar-titans
1204501,Birmingham Phoenix (Men),Birmingham Phoenix (Men),BP-M,BP-M,birmingham-phoenix-men
3493,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,BLOOM,BLOOM,bloomfield-cricket-and-athletic-club
1448170,Boca Raton Trailblazers,Boca Raton Trailblazers,BRT,BRT,boca-raton-trailblazers
3161,Boland,Boland,BOL,BOL,boland
3163,Boland Academy,Boland Academy,,,boland-academy
485963,Boland Under-15s,Boland Under-15s,BoU15,BoU15,boland-under-15s
485962,Boland Under-17s,Boland Under-17s,BoU17,BoU17,boland-under-17s
485965,Boland Under-18s,Boland Under-18s,,,boland-under-18s
3166,Boland Under-19s,Boland Under-19s,Bol19,Bol19,boland-under-19s
1255738,Bombay Deccan,Bombay Deccan,BD,BD,bombay-deccan
339298,Bombay XI,Bombay XI,BomXI,BomXI,bombay-xi
776163,Boost Defenders,Boost Defenders,BDD,BDD,boost-defenders
789643,Boost Region,Boost Region,BOOST,BOOST,boost-region
3168,Border,Border,BOR,BOR,border
485972,Border Under-13s,Border Under-13s,BrU13,BrU13,border-under-13s
3172,Border Under-19s,Border Under-19s,Bor19,Bor19,border-under-19s
423415,Botha XI,Botha XI,B XI,B XI,botha-xi
65,Botswana,Botswana,BOT,BOT,botswana
308328,Botswana Under-19s,Botswana Under-19s,Bot19,Bot19,botswana-under-19s
1195352,Brad Haddin XII,Brad Haddin XII,HADIN,HADIN,brad-haddin-xii
1195379,Brampton Wolves,Brampton Wolves,BRW,BRW,brampton-wolves
893181,Brasilia Cricket Club,Brasilia Cricket Club,Brasi,Brasi,brasilia-cricket-club
1199296,Bravo XI,Bravo XI,BR-XI,BR-XI,bravo-xi
66,Brazil,Brazil,BRA,BRA,brazil
719925,Brendan Taylor XI,Brendan Taylor XI,TAYXI,TAYXI,brendan-taylor-xi
509668,Brisbane Heat,Brisbane Heat,BH,BH,brisbane-heat
833,British Universities,British Universities,,,british-universities
834,Brothers Christopherson,Brothers Christopherson,,,brothers-christopherson
677,Brothers Union,Brothers Union,BU,BU,brothers-union
836,Buckinghamshire,Buckinghamshire,Bucks,Bucks,buckinghamshire
1388274,Bulawayo Braves,Bulawayo Braves,BUB,BUB,bulawayo-braves
63,Bulgaria,Bulgaria,BUL,BUL,bulgaria
3494,Burgher Recreation Club,Burgher Recreation Club,BRC,BRC,burgher-recreation-club
3731,Busta Cup XI,Busta Cup XI,,,busta-cup-xi
1162761,Butwal Blasters,Butwal Blasters,BB,BB,butwal-blasters
1396,CI Thornton's XI,CI Thornton's XI,,,ci-thorntons-xi
1040637,CPL Invitational XI,CPL Invitational XI,CPL X,CPL X,cpl-invitational-xi
1392081,California Knights,California Knights,CAK,CAK,california-knights
68,Cambodia,Cambodia,CAM,CAM,cambodia
857,Cambridge Marylebone Cricket Club University,Cambridge Marylebone Cricket Club University,CambU,CambU,cambridge-marylebone-cricket-club-university
859,Cambridge University,Cambridge University,CambU,CambU,cambridge-university
851,Cambridgeshire,Cambridgeshire,Cambs,Cambs,cambridgeshire
300704,Cameroon,Cameroon,CAM,CAM,cameroon
17,Canada,Canada,CAN,CAN,canada
296706,Canada A,Canada A,,,canada-a
745,Canada Under-15s,Canada Under-15s,Can15,Can15,canada-under-15s
746,Canada Under-19s,Canada Under-19s,CAN19,CAN19,canada-under-19s
2469,Canterbury,Canterbury,CANT,CANT,canterbury
2470,Canterbury A,Canterbury A,,,canterbury-a
505911,Canterbury Invitation XI,Canterbury Invitation XI,,,canterbury-invitation-xi
388445,Canterbury Second XI,Canterbury Second XI,,,canterbury-second-xi
2477,Canterbury Under-17s,Canterbury Under-17s,,,canterbury-under-17s
2478,Canterbury Under-19s,Canterbury Under-19s,,,canterbury-under-19s
3360,Cape Cobras,Cape Cobras,COBRA,COBRA,cape-cobras
3177,Cape Colony,Cape Colony,,,cape-colony
1162627,Cape Town Blitz,Cape Town Blitz,CTB,CTB,cape-town-blitz
1118217,Cape Town Knight Riders,Cape Town Knight Riders,CTKR,CTKR,cape-town-knight-riders
865,Cardiff Marylebone Cricket Club University,Cardiff Marylebone Cricket Club University,CardU,CardU,cardiff-marylebone-cricket-club-university
3732,Carib Beer XI,Carib Beer XI,,,carib-beer-xi
1448168,Caribbean Tigers,Caribbean Tigers,CAT,CAT,caribbean-tigers
268,Carlton,Carlton,,,carlton
3383,Carlton (Scotland),Carlton (Scotland),,,carlton-scotland
1494148,Cayman Bay Stingrays,Cayman Bay Stingrays,CBS,CBS,cayman-bay-stingrays
39,Cayman Islands,Cayman Islands,CAY,CAY,cayman-islands
757,Cayman Islands Under-15s,Cayman Islands Under-15s,Cay15,Cay15,cayman-islands-under-15s
758,Cayman Islands Under-19s,Cayman Islands Under-19s,Cay19,Cay19,cayman-islands-under-19s
2494,Central,Central,,,central
1098943,Central Development Region,Central Development Region,CDR,CDR,central-development-region
2482,Central Districts,Central Districts,CD,CD,central-districts
2483,Central Districts A,Central Districts A,CD A,CD A,central-districts-a
388449,Central Districts Second XI,Central Districts Second XI,,,central-districts-second-xi
2485,Central Districts Under-17s,Central Districts Under-17s,,,central-districts-under-17s
2486,Central Districts Under-19s,Central Districts Under-19s,,,central-districts-under-19s
1650,Central India,Central India,C-IND,C-IND,central-india
3512,Central Province,Central Province,,,central-province
405070,Central Provinces,Central Provinces,Cent,Cent,central-provinces
1659,Central Provinces and Berar,Central Provinces and Berar,CP-BR,CP-BR,central-provinces-and-berar
1199387,Central Punjab (Pakistan),Central Punjab (Pakistan),CPNJB,CPNJB,central-punjab-pakistan
769125,Central West Region,Central West Region,CWR,CWR,central-west-region
1632,Central Zone,Central Zone,CEZ,CEZ,central-zone
598353,Central Zone (Bangladesh),Central Zone (Bangladesh),CZBSH,CZBSH,central-zone-bangladesh
287573,Centrals,Centrals,Cntls,Cntls,centrals
1641,Chandigarh,Chandigarh,CHD,CHD,chandigarh
316597,Chandigarh Lions,Chandigarh Lions,ChLns,ChLns,chandigarh-lions
942833,Chattogram Challengers,Chattogram Challengers,CC,CC,chattogram-challengers
1516535,Chattogram Royals,Chattogram Royals,CHR,CHR,chattogram-royals
1644,Chemplast,Chemplast,,,chemplast
1288991,Chennai Braves Jaguars,Chennai Braves Jaguars,CBJ,CBJ,chennai-braves-jaguars
335974,Chennai Super Kings,Chennai Super Kings,CSK,CSK,chennai-super-kings
316596,Chennai Superstars,Chennai Superstars,CStrs,CStrs,chennai-superstars
1047327,Chepauk Super Gillies,Chepauk Super Gillies,CSG,CSG,chepauk-super-gillies
873,Cheshire,Cheshire,Chesh,Chesh,cheshire
564026,Cheshire Under-15s,Cheshire Under-15s,,,cheshire-under-15s
427424,Chhattisgarh,Chhattisgarh,CGR,CGR,chhattisgarh
1501382,Chicago Windchasers,Chicago Windchasers,WIN,WIN,chicago-windchasers
3503,Chilaw Marians Cricket Club,Chilaw Marians Cricket Club,CHLM,CHLM,chilaw-marians-cricket-club
44,Chile,Chile,Chile,Chile,chile
70,China,China,CHN,CHN,china
385283,China Under-19s,China Under-19s,CHN19,CHN19,china-under-19s
679,Chittagong,Chittagong,CHA,CHA,chittagong
988873,Chittagong Division Under-14s,Chittagong Division Under-14s,ChU14,ChU14,chittagong-division-under-14s
549985,Chittagong Kings,Chittagong Kings,Kings,Kings,chittagong-kings
1129779,Chitwan Tigers,Chitwan Tigers,CT,CT,chitwan-tigers
681,City Club,City Club,CITY,CITY,city-club
1085605,City Kaitak,City Kaitak,CK,CK,city-kaitak
2917,City Nazim XI,City Nazim XI,,,city-nazim-xi
444010,Civil Service North,Civil Service North,,,civil-service-north
273,Clarence,Clarence,,,clarence
2217,Cliftonville,Cliftonville,,,cliftonville
867,Club Cricket Conference XI,Club Cricket Conference XI,,,club-cricket-conference-xi
3504,Club XI,Club XI,,,club-xi
3386,Clydesdale,Clydesdale,,,clydesdale
527515,Coast Pekee,Coast Pekee,Pekee,Pekee,coast-pekee
1390845,Coastal Kings Mangaluru,Coastal Kings Mangaluru,CKM,CKM,coastal-kings-mangaluru
815933,Cobras Cubs,Cobras Cubs,CbrCb,CbrCb,cobras-cubs
1156232,Colombia,Colombia,Col,Col,colombia
1095060,Colombo,Colombo,COL,COL,colombo
940841,Colombo Commandos,Colombo Commandos,COLCO,COLCO,colombo-commandos
3506,Colombo Cricket Club,Colombo Cricket Club,CCC,CCC,colombo-cricket-club
3495,Colombo District Cricket Association,Colombo District Cricket Association,,,colombo-district-cricket-association
1238372,Colombo Kaps,Colombo Kaps,CLK,CLK,colombo-kaps
1057840,Colors X-Factors,Colors X-Factors,CXF,CXF,colors-x-factors
3507,Colts Cricket Club,Colts Cricket Club,COLT,COLT,colts-cricket-club
